Freq,Disaster Number,State,Year,Year 1,Fishery,Management Zone,Area/Season Affected,Comm/Rec/Tribal,State/Federal,Requester(s),Request Date,Request Year,Request Year - Disaster Year,Request letter,Secretary of Commerce Determination,State-years,Determination Date,Determination Lag (d),Determination Year,Press Release:,Formal Federally-stated Cause,Cause of Disaster,Cause simplified,Cause more simplified,Determination Authority:,Determination Letter:,Funding Authority,Appropriation Amount,US BLS correction factor (Jan - Oct 2019),Appropriation amount (2019 USD),Notes,Total est. damages,,
1,96,Alaska,2019,2019,Red King Crab,Alaska Region,Norton Sound,Commercial,State,"Michael Dunleavy, Governor, State of Alaska",3/12/20,2020,1,"Request Letter (PDF, 2 pages)",Approved,1,6/29/21,474,2021,https://www.noaa.gov/news-release/secretary-of-commerce-approves-disaster-declarations-in-4-us-commercial-fisheries,Natural causes,Natural causes (warming led to poor sea ice conditions),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter: (PDF, 1 page)",,,,,,,,
1,95,Washington,2019 pending,2019,"Sockey, Chum, Coho, Pink",West Coast Region,Washington Fraser River,Tribal,Tribal,"Teri Gobin, Chair, Tulalip Tribes",1/23/20,2020,1,"Request Letter: Tulalip (PDF, 6 pages)",TBD,1,,,,,,,,,,,,,,,,,,
1,94,Washington,2019 pending,2019,"Chinook, Sockeye, Coho, Pink, Chum",West Coast Region,Washington Upper Skagit; Fraser River (Catch Reporting Area 7/7A),"Swinomish, Lummi, Upper Skagit",Tribal,"Brian Cladoosby, Chairman, Swinomish Indian Community; Lawrence Solomon, Chairman, Lummi Business Council; Jennifer Washington, Chair, UpperSkagit Indian Tribe",10/31/19; 3/5/19; 12/31/19,2019,,"Swinomish (PDF, 3 pages); Lummi (PDF, 1 page); Upper Skagit (PDF, 1 page)",TBD,,,,,,,,,,,,,,,,,,,
1,93,New York,2019-2020,2019,Scallop,West Coast Region,New York Bay,Commercial,State,Gov. Andrew Cuomo,12/6/19,2019,0,"Request Letter (PDF, 2 pages) ",Approved,2,6/29/21,571,2021,https://www.noaa.gov/news-release/secretary-of-commerce-approves-disaster-declarations-in-4-us-commercial-fisheries,Natural causes,"Natural causes (warming, low O2, parasite outbreak)",Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308 (d)","Determination Letter: (PDF, 1 page)",,,,,,,,
1,92,Washington,2019,2019,Spring Chinook,West Coast Region,Chehalis River,Tribal (Confederate Tribes of the Chehalis River),Tribal,"Harry Pickernell, Sr., Chairman, Confederate Tribes of the Chehalis Reservation",8/2/19,2019,0,"Request Letter (PDF, 4 pages)",Approved,1,6/29/21,697,2021,https://www.noaa.gov/news-release/secretary-of-commerce-approves-disaster-declarations-in-4-us-commercial-fisheries,Natural causes,Natural and Human Causes led to low salmon returns,Natural and Human Causes,Human Causes and Environmental Anomalies,MSA 312(a),Determination Letter: (PDF 1 page),,,,,,,,
1,91,Washington,2018,2018,Puget Sound Coho Salmon,West Coast Region,Puget Sound,Tribal (Port Gamble S'Klallam),Tribal,"Jeremy Sullivan, Chairman, Port Gamble S’Klallam Tribe ",7/1/19,2019,1,"Request Letter (PDF, 2 pages)",Approved,1,6/29/21,729,2021,https://www.noaa.gov/news-release/secretary-of-commerce-approves-disaster-declarations-in-4-us-commercial-fisheries,Natural causes,Natural Causes (Harmful Algal Blooms),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a),"Determination Letter: (PDF, 1 page)",,,,,,"$134,000 ",,
1,90,California,2017-2019,2017,Pacific Sardine,West Coast Region,Mexico to Canada,Commercial,Federal,Gov. Gavin Newsom (CA),6/18/19,2019,2,file:///C:/Users/LYALL.BELLQUIST/Downloads/Pacific%20Sardine%20Request%2013-067253_508%20Compliant.pdf,Approved,3,9/25/19,99,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Natural Causes (Warm Blob and El Nino),Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308 (d)","Determination Letter (PDF, 1 page)",,"$2,218,904",1.02,"$2,263,282",,,,
1,89,"Louisiana, Mississippi, Alabama",2019,2019,"Oyster, crab, shrimp, finfish",Southeast Region,"Missississippi Sound, Cedar Point Oyster Reef, Mobile Bay, Lake Borgne, St. Bernard Parish",Commercial and Recreational,Both,"Gov. Phil Bryant (MS), Gov. John Bel Edwards (LA), Gov. Kay Ivey (AL)","5/31/19, 6/13/19, 7/10/19",2019,0,"Mississippi Request Letter (2 pages),  Louisiana Request Letter (2 pages), Alabama Request Letter (3 pages)",Approved,3,9/25/19,117,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Opening of Bonnet Carre Spillway to relieve Missippi River pressure from flooding,Natural Causes (flooding),Environmental Anomalies,MSA 312(a) and MSA 315,"Mississippi Determination Letter (PDF, 1 page), Louisiana Determination Letter (PDF, 1 page), Alabama Determination Letter (PDF, 1 page)",?,"$88,301,898",,"$88,301,898",,,,
1,88,Florida,2018-2019,2018,Multiple fisheries,Southeast Region,Southwest Florida,Commercial and Recreational,Both,Gov. Ron DeSantis (FL),5/24/19,2019,0,"Request Letter (PDF, 2 pages)",Denied,,,,,,,,,,,,,,,,$55M requested,,,
1,87,California,2016-2017,2016,Red Sea Urchin,West Coast Region,Northern California,Commercial,State,Gov. Gavin Newsom (CA),2/28/19,2019,3,"Request Letter (PDF, 3 pages)",Approved,2,9/25/19,209,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,"Natural Causes (warm ocean conditions led to kelp forest die off, urchin food source)",Natural Causes (warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308 (d)","Determination Letter (PDF, 1 page)",?,"$3,329,343",1.02,"$3,395,930",,,,
1,86,California,2018,2018,Chinook Salmon,West Coast Region,Klamath River Fall,Tribal (Yurok),Tribal,"Joseph L. James, Chairman, Yurok Tribe",2/11/19,2019,1,"Request Letter (PDF, 2 pages)",Approved,1,9/25/19,226,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Natural and Human Causes led to low salmon returns,Natural and Human Causes,Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$2,226,068",1.02,"$2,270,589",,,,
1,85,Alaska,2018,2018,Sockeye Salmon,Alaska Region,Chignik Management Area,Tribal (Chignik),Tribal,Gov. Bill Walker (AK),11/28/18,2018,0,"Request Letter (PDF, 3 pages) ",Approved,1,9/25/19,301,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Natural Causes,Natural Causes,Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$10,327,039",1.02,"$10,533,580",,,,
1,84,North Carolina,2018,2018,All Fisheries,Southeast Region,,Commercial,Both,Gov. Roy Cooper (NC),11/1/18,2018,0,"Request Letter (PDF, 2 pages) ",Approved,1,12/6/18,35,2018,?,Natural causes (hurricane),Natural Causes (Hurricane Florence),Natural Causes (Hurricane),Environmental Anomalies,MSA 312(a); IFA 308(b),"Determination Letter (PDF, 1 page)",?,"$7,728,000",1.04,"$8,037,120",$12M requested,,,
1,83,Florida,2018,2018,All Fisheries,Southeast Region,,Commercial,Both,Gov. Rick Scott (FL),10/23/18,2018,0,"Request Letter (PDF, 2 pages) ",Approved,1,10/31/18,8,2018,Press Release,Natural causes (hurricane),Natural Causes (Hurricane Michael),Natural Causes (Hurricane),Environmental Anomalies,MSA 312(a); IFA 308(b),"Determination Letter (PDF, 1 page)",?,"$7,812,000",1.04,"$8,124,480",,,,
1,82,Georgia and South Carolina,2018,2018,"Penaeid Shrimp (brown, pink, and white penaeid shrimp fisheries)",Southeast Region,Georgia and South Carolina,Commercial,Federal,"Steve L. Howard, County Administrator, Camden County; Albert J. Scott, Chairman, Chatham County Board of Commissioners, Mark. R. Stambaugh, Glynn County Commissioner (GA); Governor Henry McMaster (SC)","5/18/2018, 5/29/18, 7/13/18, 11/16/18",2018,1,"Camden County Request Letter (PDF, 1 pages), Chatham County Request Letter (PDF 2 pages), Glynn County Request Letter (PDF, 1 page) South Carolina Request Letter (PDF, 2 pages)",Approved,2,9/25/19,495,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Natural Causes,Natural Causes (cold anomaly),Environmental Anomalies,"MSA 312(a), IFA 308(b), IFA 308(d)","Camden County Determination Letter (PDF, 1 page), Chatham County Determination Letter (PDF, 1 page), Glynn County Determination Letter (PDF, 1 page), South Carolina Determination Letter (PDF, 1 page)",?,"$7,381,158",1.02,"$7,528,781","Georgia appropriation: $3,442,913 ; South Carolina appropriation: $3,938,245",,,
1,81,Alaska,2018,2018,Pacific Cod,Alaska Region,Gulf of Alaska,Commercial,Federal,Gov. Bill Walker (AK),3/8/18,2018,0,"Request Letter (PDF, 1 pages) ",Approved,1,9/25/19,566,2019,https://www.commerce.gov/news/press-releases/2019/09/secretary-commerce-approves-disaster-declarations-american-fishing,Natural causes,Natural Causes,"Natural and Human Causes (Overfishing, warm anomaly)",Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$24,416,440",1.02,"$24,904,769",,,,
1,80,Washington,2016,2016,Coho and Chinook (Ocean Troll),West Coast Region,,Tribal (Makah),Tribal,"Nate Tyler, Chairman, Makah Tribal Council",3/14/18,2018,2,"Request Letter (PDF, 6 pages) ",Approved,1,9/24/18,194,2018,"Press Release (PDF, 1 page)",Natural causes,Natural Causes,Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",P.L 115-141,"$1,654,000",1.04,"$1,720,160",Year was 2016 but request date was 2018?,,,
1,79,Texas,2017,2017,All Fisheries,Southeast Region,,Commercial,Federal,Gov. Greg Abbott (TX),2/14/18,2018,1,"Request Letter (PDF, 2 pages)",Approved,1,3/20/18,34,2018,Press Release,Natural causes (hurricane),Natural Causes (Hurricane Harvey),Natural Causes (Hurricane),Environmental Anomalies,MSA 312(a); IFA 308(b),"Determination Letter: (PDF, 1 page)",Funding Authority: P.L. 115-123,"$13,945,263",1.04,"$14,503,074",,,,
1,78,Washington,2016,2016,Coho Salmon,West Coast Region,,Tribal (Quileute),Tribal,"Charles Woodruff, Chairman, Quileute Tribal Council",5/4/17,2017,1,"Request Letter (PDF, 2 pages)",Approved,1,9/24/18,508,2018,"Press Release (PDF, 1 page)",Natural causes,Natural Causes,Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308 (d)","Determination Letter (PDF, 1 page)",P.L 115-141,"$970,000",1.04,"$1,008,800",,,,
1,77,"Florida, USVI, Puerto Rico",2017,2017,All Fisheries,Southeast Region,"Florida, USVI, Puerto Rico",Commercial,Federal,"Govs. Rick Scott (FL), Kenneth E. Mapp (USVI), Ricardo Rossello Nevares (PR)","10/2/2017, 10/6/2017, 11/7/2017",2017,0,"Request Letter: Florida (PDF, 2 pages), Virgin Islands (PDF, 2 pages), Puerto Rico (PDF, 2 pages)",Approved,3,2/8/18,#VALUE!,2018,Press Release,Natural causes (hurricane),Natural Cause (Hurricanes Irma and Maria),Natural Causes (Hurricane),Environmental Anomalies,MSA 312(a); MSA 315; IFA 308(b),"Determination Letter: Florida (PDF, 1 page), Virgin Islands (PDF, 1 page), Puerto Rico (PDF, 1 page)",Funding Authority: P.L. 115-123,"$66,738,161",1.04,"$69,407,687","$5M requested in USVI, $29M requested in Puerto Rico","$117,000,000 ",https://www.fisheries.noaa.gov/feature-story/noaa-releases-economic-impact-evaluations-hurricanes-irma-and-maria-disasters,
1,76,California,2016,2016,Red Sea Urchin,West Coast Region,,Commercial,State,Acting Gov. Gavin Newsom (CA),9/5/17,2017,,"Request Letter (PDF, 3 pages)",Denied,,9/24/18,384,,"Press Release (PDF, 1 page)",,Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,N/A,"Determination Letter (PDF, 1 page)",N/A,,,,No cause or authority provided?,,,
1,75,California,2015-2016,2015,Pacific Sardine,West Coast Region,,Commercial,Federal,Acting Gov. Gavin Newsom (CA),9/5/17,2017,2,"Request Letter (PDF, 3 pages)",Approved,2,9/24/18,384,2018,"Press Release (PDF, 1 page)",Natural causes,Natural Causes (Warm Blob and El Nino),Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308 (d)","Determination Letter (PDF, 1 page)",P.L 115-141,"$1,640,000",1.04,"$1,705,600",,,,
1,74,Oregon and California,2016-2017,2016,Chinook Salmon,West Coast Region,Klamath River Fall,Tribal (Yurok & Hoopa),Tribal,"Ryan Jackson, Chairman, Hoopa Valley Tribe; Thomas P. O’Rourke, Chairperson, Yurok Tribal Council; Govs. Edmund G. Brown Jr. (CA) and Kate Brown (OR)","3/13/2017, 4/25/2017, 5/24/2017",2017,1,"Request Letter: Hoopa (PDF, 2 pages), Yurok (PDF, 2 pages), California and Oregon (PDF, 5 pages)",Approved,4,9/24/18,#VALUE!,2018,"Press Release (PDF, 1 page)",Natural causes,"Natural Causes (prolonged drought, and poor ocean conditions)",Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308(b), IFA 308(d)","Hoopa, Yurok, California, and Oregon (PDF, each 1 page)",P.L 115-141,"$8,886,000",1.04,"$9,241,440",,,,
1,73,Washington,2015,2015,Coho and Pink Salmon,West Coast Region,,"Tribal (Hoh, Stillaguamish, Nooksak, Muckleshoot, Quileute, Upper Skagit, Suquamish)",Tribal,"Maria Lopez, Chairwoman, Hoh Tribal Council; Shawn Yanity, Chairman, Stillaguamish Indian Tribe; Katherine Canete, General Manager, Nooksack Indian Tribe; Virginia Cross, Chairperson, Muckleshoot Indian Tribe; Charles Woodruff, Chairman, Quileute Tribal Council; Doreen Maloney, Director of Treaty Entitlements, Upper Skagit Indian Tribe; Leonard Forsman, Chairman, Suquamish Tribal Council","7/27/2016, 2/10/2017, 3/8/2017, 4/4/2017, 5/4/2017; 1/20/2017; 3/8/2018",2017,2,"Request Letters: Hoh (PDF, 4 pages), Stillaguamish (PDF, 1 page), Nooksack (PDF, 1 page), Muckleshoot (PDF, 4 pages), Quileute (PDF, 2 pages), Upper Skagit (PDF, 3 pages) Suquamish (PDF, 2 pages)",Approved,1,9/24/18,#VALUE!,2018,"Press Release (PDF, 1 page)",Natural causes,Natural Causes,Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letters: Hoh, Stillaguamish, Nooksack, Muckleshoot, Quileute, Upper Skagit, Suquamish (PDF, each 1 page)",P.L 115-141,"$3,856,000",1.04,"$4,010,240",,,,
1,72,Alaska,2016,2016,Pink Salmon,Alaska Region,"Prince William Sound, Kodiak Management Area, Chignik Management Area, Lower Cook Inlet Management Area, Southeast Alaska, South Alaska Peninsula, and Yakutat Area",Commercial,Federal,Gov. Bill Walker and Lt. Gov. Byron Mallott (AK),"9/19/2016, 9/28/2016, 10/26/2016",2016,0,"9/19/2016 (PDF, 3 pages), 9/28/2016 (PDF, 2 pages), 10/26/2016 (PDF, 2 pages)",Approved,1,1/18/17,#VALUE!,2017,?,Natural causes,Natural Causes,Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",Funding Authority: P.L. 115-123,"$56,361,332",1.06,"$59,743,012",No cause or press release?,,,
1,71,Washington,2016,2016,Ocean Salmon Troll,West Coast Region,,Commercial,Federal,Gov. Jay Inslee (WA),9/14/16,2016,0,"Request Letter (PDF, 2 pages)",Approved,1,1/18/17,126,2017,?,Natural causes (warm anomaly),Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 1 page)",Funding Authority: P.L. 115-123,"$834,401",1.06,"$884,465",No press release?,,,
1,70,California,2016,2016,Chinook Salmon,West Coast Region,Klamath River,Tribal (Yurok) / Commercial,Tribal,"Thomas P. O'Rourke, Sr., Chairperson, Yurok Tribe",7/20/16,2016,0,"Request Letter (PDF, 5 pages)",Approved,1,1/18/17,182,2017,?,Natural causes (warm anomaly),Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",Funding Authority: P.L. 115-123,"$3,864,904",1.06,"$4,096,798",No press release?,,,
1,69,Washington,2015,2015,Dungeness Crab,West Coast Region,Quileute Tribe Treaty Area,Tribal (Quileute),Tribal,"Charles Woodruff, Chairman, Quileute Tribal Council",6/23/16,2016,1,"Request Letter (PDF, 5 pages)",Approved,1,1/18/17,209,2017,?,Natural causes (HAB),Natural Causes (Harmful Algal Blooms),Natural Causes (HAB event),Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 1 page)",Funding Authority: P.L. 115-123,"$1,481,199",1.06,"$1,570,071",No press release?,,,
1,68,Washington,2015,2015,"Coho, Chinook, Chum ",West Coast Region,South Puget Sound ,"Tribal (Nisqually, Squaxin Island, Port Gamble S'Klallam, Jamestown S'Klallam)",Tribal,"Joseph C. Peters, Natural Resources Policy Representative, Squaxin Island Tribe; Mr. Jeremy Sullivan, Chairman, Port Gamble S'Klallam Tribe; Mr. W. Ron Allen, Chairman/ CEO Jamestown S’Klallam Tribe; Farron McCloud, Chairman, Nisqually Indian Tribe","5/9/2016, 6/22/2016, 7/5/2016, 7/31/2016",2016,1,"Request Letter: Squaxin (PDF, 1 page), Port Gamble (PDF, 2 pages), Jamestown (PDF, 1 page), Nisqually (PDF, 4 pages)",Approved,1,1/18/17,#VALUE!,2017,?,Natural causes (warm anomaly),Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter: Squaxin (PDF, 1 page), Port Gamble (PDF, 1 page), Jamestown (PDF, 1 page), Nisqually (PDF, 1 page)",Funding Authority: P.L 115-123,"$13,542,624",1.06,"$14,355,181",No press release?,,,
1,67,California,2015-2016,2015,Dungeness and Rock Crab,West Coast Region,,Commercial,State,"Gov. Edmund G. Brown Jr., (CA)",2/9/16,2016,1,"Request Letter (PDF, 2 pages)",Approved,2,1/18/17,344,2017,?,Natural causes (HAB),Natural Causes (Harmful Algal Blooms),Natural Causes (HAB event),Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 1 page)",Funding Authority: P.L. 115-123,"$25,797,268",1.06,"$27,345,104",No press release?,"48,676,000",https://www.nwfsc.noaa.gov/research/divisions/efs/microbes/harmful_algae/storymap.cfm,
1,66,Washington,2015,2015,Coastal Salmon,West Coast Region,"Willapa Bay, Grays Harbor and Queets River",Commercial,Federal/Tribal,"Gov. Jay Inslee (WA); Fawn R. Sharp, President, Quinault Indian Nation",9/14/2016; 11/23/2015,2015,0,"Washington State (PDF, 2 pages); Quinault (PDF, 3 pages)",Approved,1,1/18/17,#VALUE!,2017,?,Natural causes (warm anomaly),Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter: Washington State (PDF, 1 page); Quinault (PDF, 1 page)",Funding Authority: P.L. 115-123,"$14,606,939",1.06,"$15,483,355",No press release?,,,
1,65,Washington,2014,2014,Sockeye Salmon,West Coast Region,Fraser River,"Tribal (Elwha, Makah, Swinomish Tribes)",Tribal,"Brian Cladoosby, Chairman, Swinomish Indian Tribal Community; Timothy J. Greene Sr., Chairman, Makah Tribal Council; Frances G. Charles, Chairwoman, Lower Elwha Klallam Tribe","1/13/2015, 1/20/2015, 2/25/2015",2015,1,"Request Letter: Swinomish (PDF, 2 pages), Makah (PDF, 2 pages), Elwha (PDF, 4 pages)",Partially Approved,1,1/18/17,736,2017,?,Natural causes (warm anomaly),Natural Causes (warm ocean conditions),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter: Swinomish (PDF, 1 page), Makah (PDF, 1 page), Elwha (PDF, 1 page)",Funding Authority:  P.L. 115-123,"$2,827,909",1.06,"$2,997,584","Swinomish: Denied, Makah: Approved, Elwha: Approved",,,
1,64,Georgia,2013,2013,White Shrimp,Southeast Region,,Commercial,State,Gov. Nathan Deal (GA),2/10/14,2014,1,"Request Letter (PDF, 2 pages)",Approved,1,8/24/15,560,2015,?,"Natural causes (flooding, disease)","Natural Cause (Excessive Rainfall, Disease)",Human Causes (Pollution after heavy rains),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",P.L 115-141,"$1,062,000",1.10,"$1,168,200",No press release?,,,
1,63,Washington,2013,2013,Sockeye Salmon,West Coast Region,Fraser River,"Tribal (Nooksack, Tulalip, Suquamish, Makah, Lower Elwha, Jamestown S'Klallam, Port Gamble S'Klallam, Lummi Nation Tribes and WA)",Tribal,"Chairman Tim Ballew II, Lummi Nation",10/28/13,2013,0,"Request Letter (PDF, 8 pages)",Approved,1,1/14/14,78,2014,"Press Release (PDF, 1 page)",Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Sockeye returns),Natural Causes (Warm anomaly),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",P.L. 115-141,"$1,932,000",1.10,"$2,125,200",,,,
1,62,Louisiana,2012,2012,All Fisheries,Southeast Region,,Commercial,Federal,Gov. Bobby Jindal (LA),1/14/13,2013,,"Request Letter (PDF, 1 page)",Withdrawn,,N/A,#VALUE!,,N/A,Natural causes (hurricane),Natural Causes (Hurricane Isaac),Natural Causes (Hurricane),Environmental Anomalies,N/A,N/A,N/A,,,,,,,
